#Packet extractor by scriptKid
#Date: Wed Apr 18 17:23:33 2018
#Encryption Keys: 1588276783, 1226967619, 496377059
0899 2 2 0
089A 2 2 0
089B 2 2 0
089C 2 2 0
089D 2 2 0
089E 2 2 0
089F 2 2 0
0436 2 2 0
08A1 2 2 0
08A2 2 2 0
08A3 2 2 0
08A4 2 2 0
08A5 2 2 0
08A6 2 2 0
0940 2 2 0
08A7 2 2 0
08A9 2 2 0
08AA 2 2 0
08AB 2 2 0
08AC 2 2 0
08AD 2 2 0
0941 2 2 0
0942 2 2 0
0943 2 2 0
0944 2 2 0
0945 2 2 0
0946 2 2 0
0281 2 2 0
0948 2 2 0
0949 2 2 0
094A 2 2 0
094B 2 2 0
094C 2 2 0
094D 2 2 0
094E 2 2 0
094F 2 2 0
0950 2 2 0
0951 2 2 0
0952 2 2 0
0953 2 2 0
0954 2 2 0
0955 2 2 0
0956 2 2 0
0957 2 2 0
0958 2 2 0
0959 2 2 0
095A 2 2 0
095B 2 2 0
095C 2 2 0
095D 2 2 0
095E 2 2 0
095F 2 2 0
0960 2 2 0
0961 2 2 0
0962 2 2 0
0963 2 2 0
0886 2 2 0
0965 2 2 0
02C4 2 2 0
0967 2 2 0
0968 2 2 0
0969 2 2 00080 0002 00FE 00FF 00FF 0000 03CE 03D2 03D3 0400 0401 03FE 03FF 00CC 00CD 00CE 00CF 00D0 00D1 00D2 00D3 012A 012B 0134 021B 03D4 021D 0258 0265 0266 0267 0268 0392 03D7 03D5 03D6 03D8 03DA 03E8 00E4 02E1 02E2 02DF 02E0 03DD 03DE 03DF 03E4 03E5 03E6 03E7 03ED 03EA 03EF 03F0 03F1 03F2 03E9 03F3 03E0 03E3 03E2 03E1 03F5 01B3 03F4 040A 0437 043F 040B 040C 040F 0420 0423 0431 043C 043E 0441 0440 0443 0444 0445 0138 0139 0140 0145 00FD 0459 0477 0478 045A 047A 047F 0480 0481 0482 0483 0484 0485 0486 0487 0488 04AC 04AD 04AE 04AF 04B0 04B1 04B2 04B3 0200 00FE 00FF 00FF 00FF 00B0 00FF 00FF 00FF 00A5 00FF 00FF 00B4 0000 0000 0000 00DC 00FF 00FF 008C 00FF 00FF 00FF 00FF 0000 0000 00FF 00FF 00FF 00FF 00FF 0087 00FF 00FF 00FF 0087 00FF 00FF 00FF 00FF 00C8 00FF 00FF 0104 0104 0104 0104 0104 00AA 0104 0C80 0104 0C80 0104 0104 00AA 00AA 00FA 0103 0000 0000 0104 0104 0104 0103 0000 010F 0235 029D 0000 0104 00AA 00FA 0104 0104 0104 0000 0000 0000 0000 0000 0001 0001 0001 0000 0001 0000 0000 0001 00F9 0103 00F9 018F 08EF 08F0 0103 0103 0000 0001 0128 00FE 0001 0001 0001 0001 0001 0000 0001 0000 0001 0001 01A0 00FF 00FF 00FF 00FF 00FF 00FF 00FF 00FF 00FF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 000A 001E 0000 0000 0000 0000 0000 0000 0000 0000 00FF 0000 00FF 00CD 0000 0000 0000 0000 022C 04B5 0000 0000 0000 0000 01FA 01FA 0000 0000 0064 0000 0000 0000 0000 0000 0000 0000 0000 00FF 0000 0352 0352 03A4 03A4 0101 0101 0101 0000 0000 00FF 0200 D800 0000 0087 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 00FF 009B 00FF 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0083 0000 00A9 0000 0000 0081 0084 0084 0000 0086 0080 0000 0085 0087 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0000 0082 00AA 0004 0093 009E 0090 0095 008F 0094 009C 0000 009A 0000 0000 008B 0084 0084 00A3 00A4 00A5 00A2 008C 00A0 00A7 0000 0000 0000 0000 0000 0000 0092 0087 00A4 00A1 009F 0089 0000 0089 009D 00A6 009B 0097 00A8 0098 0000 0099 008D 038F 0088 0000 0096 008E 00E5 0479 014D 012D 0129 00A3 00A2 A000 A000 A000 A000 A000 A000 A000 A000 0800 A000 A000 A000 A000 A000 A000 A000 A000 A000 0000 0200 0000 0000 0000 0080 0000 0000 0000 0000 03E8 0000 0103 0000 0000 0738 0103 0104 0104 0104 0104 0104 0104 0104 00C8 0000 0001 00A0 0100 0094 0094 FFFF 0158 008C 008C 00A6 00A6 00A6 00A6 00A6 00A6 0269 0269 0269 01B9 01E7 01A8 01A8 028F 0290 028F 028F 00CB 00CB 00CB 00A6 00A6 00A6 00FE 00FE 00FE 01A2 01A2 0220 0220 01A2 0220 01A2 01A2 0220 0220 01A3 01A3 016F 016F 01DA 01DA 016F 01C5 01C5 018A 018A 018C 018C 018C 018C 0170 0170 025C 025C 0259 0259 01BA 01BB 01AA 01BA 017E 017E 00A6 00A6 00A6 00A6 00A6 00A6 024A 024A 024A 0341 0341 0341 02F3 02F3 02F3 0170 0170 0170 038D 038D 0318 0318 0318 039D 039D 039D 0314 0314 0314 0315 0315 0315 03AC 03AC 03AC 02DF 02E0 02E1 02E2 02DF 0361 0363 0367 0369 036B 01C5 01C5 01C5 02E8 02E8 02E8 0337 0337 0337 0329 0329 0329 02E8 02E8 02E8 0177 0177 02F0 02F0 02F0 01C8 03C3 03C3 1077 03E6 03C3 03C3 03C3 03EC 03EC 03EC 018A 018A 018A 00B4 03EB 03EB 03EB 03ED 03C3 03C3 0220 0220 0220 03FB 03FB 03FB 00FF 040D 040D 040D 0410 0410 0410 0410 0410 0418 0418 0418 0419 0419 0419 0194 0194 0194 041E 041E 041E 041F 041F 041F 0421 0421 0421 0443 008C 00A6 0000 0000 014F 014F 0000 014E 00FF 01BE 01BE 01BD 01BD 0000 01BD 0000 019B 0000 01C1 01F4 00E4 00E4 1324 0900 00C8 0175 0083 008D 008E 00E1 00EC 00ED 00EE 01F1 01F2 01F3 00DF 0087 0317 03A0 0375 0179 0179 0106 0107 0111 0107 014A 0178 0107 0200 0179 0107 0376 0377 0378 0376 0378 0225 0226 037B 0085 000F 000F 000F 008C 0001 0001 0000 0001 0000 0001 0000 0001 0000 0001 1DC5 1AB1 18AC 1895 00A2 00A2 00FF 013B 0105 0177 01B8 01B8 0081 00D0 FFFF 00FF 00BE 011E 011E 011E 011E 00AA 1001 0106 010C 009C 009D 009E 009F 00B2 00B3 00A2 009B 008E 008E 00F7 011D 03FF 0120 027F 01B9 0000 00C7 00C8 0088 00FE 0000 0000 0000 018F 096A 0368 0800 0000 0001 0800 0800 0080 00B6 0185 00B6 0096 0096 0096 0096 0096 00B9 00B9 00BB 023B 008D 00E4 00E8 0103 0103 0800 1001 0000 0000 0001 008D 008D 32FF 00C0 00FF 00FF 00FF 0000 0000 00CD 0000 FFFF FFFF FFFF FFFF FFFF 0610 00E8 0094 0094 0104 0000 008D 00C0 00C0 00FF 01F3 0103 FFFF 0094 01B0 0000 0000 0100 0468 0158 0468 0158 0468 0158 0468 0158 009F 0094 0094 00F6 0130 010D 0094 0173 0094 01FF 00FF 0080 FFFF FFFF FFFF 03F0 00B5 0000 0000 0000 0000 021F 021F 021F 01B0 01F3 FFFF 00AD 03FF 0400 009B 009B 009A 00AD 009A 009B 0131 0131 0132 0132 0000 0000 0000 0537 008C 008C 02E2 036F 02F0 02D9 02A4 02F0 02F0 00A6 00A6 00A6 00A6 00A6 00A6 0269 0269 00CB 00CB 00FE 00FE 01A2 01A2 0220 01A3 01A3 01A8 01A8 024A 024A 028F 028F 01DA 01DA 017E 017E 0170 0170 018A 018A 018C 018C 0177 0177 01A4 01A4 021C 01A4 01AB 01AB 01AB 00FE 00FE 00FE 028F 028F 0290 028F 029B 029B 029B 00DB 0000 0000 015B 0000 0000 00E4 00E4 02F0 02F0 0410 0410 0173 009E 0152 0246 0151 009B 009A 0131 0132 0001 0376 039C 0376 016E 016E 016E 0376 0375 0383 035A 035F 0199 00B7 0247 0376 0376 037E 02D6 02D6 0249 0087 0411 0092 00E4 00E4 0275 00E4 00E4 0088 008C 00B9 00F8 0112 010C 010E 010F 0110 012C 00EA 00EB 00CB 0105 00FE 0105 01C5 00FD 0198 016F 01DA 01EF 010D 01F4 012C 017A 017E 0180 0181 0181 0197 0196 018A 018A 018B 018C 01BB 01BA 01BE 01BD 01BD 01CD 01CD 01CD 01A2 0220 01E8 01A4 00FE 021F 01A3 01F7 0177 025F 025E 02F4 0300 0107 0300 02EF 0324 02D9 0321 01B9 02ED 021A 02F4 021A 021A 01B9 021A 01B9 02DB 0107 014A 0341 0341 02CF 02F1 0376 0376 01B9 03A3 0376 01B9 0376 01B7 0376 0376 0391 01B7 01B3 01B3 0376 0376 038C 0376 0376 0376 0376 0376 0376 0376 0376 037E 0376 0376 0376 0376 0376 0376 0376 037C 035B 035E 034F 034F 034F 0350 0350 0351 0351 0311 032D 032E 032F 0330 0331 0332 033A 0333 021F 035D 0360 035D 0355 0364 0362 0366 0368 036A 036C 036E 03C9 0413 0318 0170 01C8 01C8 0239 0239 023A 023A 023B 014C 014B 064C 0300 0323 00D8 02DF 0313 0192 02B3 0104 0400 00FF 00FF 0768 0769 012C 0190 2723 2726 2713 272A 272C 0005 0080 2725 0CEE 0CEE 105E 105F 1073 1074 2725 0233 0233 0232 0234 1001 0000 0001 0319 0087 0141 0094 0000 0000 1324 00C8 0000 0000 0158 0158 0158 02A6 00A4 02DF 02E0 02E1 02E2 00A6 0082 0341 0341 0341 0318 0318 0318 039D 039D 039D 0269 00A6 00A6 00A6 01B9 01E7 01A2 02DF 02E0 02E1 02E2 0418 0418 0194 0194 041E 041E 041F 041F 0421 0421 03EB 03EB 03C3 03C3 03EC 03EC 01A2 0089 0089 008A 0174 0000 0000 0000 0000 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0000 0001 0001 0001 0000 0001 0001 0001 0001 0000 0001 0000 0001 0001 0001 0000 0001 0001 0001 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0001 0000 0001 0001 0001 0001 0000 0001 0001 0001 0001 0000 0001 0001 0000 0001 0001 0001 0001 0000 0001 0001 0000 0001 0001 0000 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0000 0001 0001 0000 0001 0001 0000 0001 0001 0000 0001 0001 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0001 0001 0200 0200 7D01 0200 0200 6D93 6D93 6D93 7D01 1001 0000 0001 0001 0001 0001 0001 0001 0001 0000 0001 0001 0001 0000 0000 0000 0001 0000 0001 0000 0001 0001 0001 0000 0001 0001 0001 0000 0001 0001 0001 0001 0001 0001 0001 0001 0100 13D2 13D2 0001 0094 0097 0001 00AA 00E2 0109 0108 01C2 0219 026B 026D 018F 0190 016E 019D 01D2 019F 01AE 01C9 01B7 0223 022B 01A9 0229 01AF 029A 00D6 02A3 029E 029C 029D 0199 0406 0406 02D3 0300 0305 0300 024D 0302 0301 01AF 0300 0342 0344 02EE 02D4 024D 02DA 02D2 0109 02CF 02D1 02D8 0356 0376 0376 0383 037E 038A 0376 0104 008E 037A 0376 037A 0375 0179 038A 0389 0375 0376 01B7 037C 0376 0375 0376 01C9 0376 037D 01CA 035F 01D2 0365 01A9 032A 032A 030D 030C 031A 0308 01CC 01CC 0375 0376 0375 0376 0376 0379 037A 0376 037A 0224 0376 0237 01D2 01CC 03AF 03AE 0385 00D6 01B9 0376 0376 0376 037E 03AA 03AA 03AA 03A9 03A9 03A9 03A8 03A8 03A8 00FC 0150 1001 1001 00FD 00FD 00FD 00FD 0000 0001 0000 0001 0000 0000 0001 0432 0437 043C 044B 0000 0000 0000 0000 0000 0001 14B6 14BB 151A 0000 00C4 0000 00FC 0001 0001 0103 0103 0103 0000 0000 0103 0103 0000 00FA 0096 00FF 0336 008E 0358 035C 0359 0399 0397 0394 03BF 03C4 03CF 03A1 03E0 03E1 03E2 03E3 03EF 03FC 041A 0091 0091 0091 0091 0091 0091 01FC 2710 0200 048C 1008 0103 0103 0004 0104 0088 0088 08B1 08B1 0104 0000 08B1 0220 0124 048C 0080 0400 0104 0103 0103 0104 07FF 251C 4C2C 07FF 0104 07FF 0800 4C2C 062D 08B1 0104 0103 0103 08B1 1008 08B1 0202 08B1 062D 08B1 01F4 0103 3DA4 0200 1008 08B1 08B0 08B1 08B2 08B2 5000 5000 0420 1017 1018 1000 1000 1000 1000 0104 00F8 00F8 0104 0268 0103 0103 0103 0103 0400 0400 0400 0100 0400 0400 0400 0400 0400 0400 0360 0208 011F 8000 4000 4000 0FFF 1000 0FFF 0FFF 0FFF 0090 0380 0380 0380 0380 0380 0380 0380 0380 C0EA C10D C115 C117 C11A C11C C11F C120 C129 C132 C134 C139 C13C C13F C141 C144 C147 C14A C153 C161 C166 C17F C18F C192 C19A C1A2 C1A5 C1A8 C1AD C1B9 C1C5 C1C8 C1D4 C1D7 C1DA C1E0 C2C0 C2C7 C2D9 C2E0 C2E2 C2F6 C2F8 C2F9 C2FB C307 C30A C30D C310 C317 C319 C31C C31F C33A C35B C35F C372 C376 C378 C388 C38A C38B C391 0004 03E8 0004 0000 0047 0047 0004 0104 0004 0004 0308 0004 0004 0004 034D 034D 
0187 6 6 0
0081 3 3 0
01C6 4 4 0
01C7 2 2 1
0064 55 55 0
0069 -1 47 0
006A 23 23 0
01DB 2 2 0
01DC -1 4 0
01DD 47 47 0
01FA 48 48 0
0204 18 18 0
01F1 -1 4 0
0200 26 26 0
01BE 2 2 0
01BF 3 3 0
0065 17 17 0
0066 3 3 0
0067 37 37 0
0970 31 31 0
020D -1 4 0
006B -1 4 0
006C 3 3 0
006D 146 146 0
006E 3 3 0
0071 28 28 0
0068 46 46 0
01FB 56 56 0
006F 2 2 0
0070 3 3 0
02CA 3 3 0
0072 19 19 0
0082 2 2 0
0085 5 5 0
0089 7 7 0
008C -1 4 0
007E 6 6 0
007D 2 2 0
0090 7 7 0
0099 -1 4 0
019C -1 4 0
009B 5 5 0
00CC 6 6 0
00CE 2 2 0
009F 6 6 0
00A2 6 6 0
00A7 8 8 0
00A9 6 6 0
00AB 4 4 0
00B8 7 7 0
00B9 6 6 0
00B2 3 3 0
00BA 2 2 0
00BB 5 5 0
00BF 3 3 0
00C1 2 2 0
00C5 7 7 0
00C8 -1 4 0
00C9 -1 4 0
0096 -1 28 0
00CF 27 27 0
00D0 3 3 0
00D3 2 2 0
00D5 -1 15 0
00D9 14 14 0
00DE -1 15 0
00E0 30 30 0
00E2 26 26 0
00E3 2 2 0
00E4 6 6 0
00E6 3 3 0
00E8 8 8 0
00EB 2 2 0
00ED 2 2 0
00EF 2 2 0
00F3 8 8 0
00F5 8 8 0
00F7 2 2 0
00F9 26 26 0
01E8 28 28 0
00FC 6 6 0
00FF 10 10 0
0102 6 6 0
0100 2 2 0
0103 30 30 0
0108 -1 4 0
0112 4 4 0
0113 10 10 0
0116 10 10 0
0118 2 2 0
011B 20 20 0
011D 2 2 0
0126 8 8 0
0127 8 8 0
0128 8 8 0
0129 8 8 0
012A 2 2 0
012E 2 2 0
012F -1 84 0
01B2 -1 85 0
0134 -1 8 0
0130 6 6 0
0138 3 3 0
013F 26 26 0
0140 22 22 0
0143 10 10 0
0146 6 6 0
0178 4 4 0
017A 4 4 0
017C 6 6 0
01FD 15 15 0
018A 4 4 0
018E 10 10 0
0190 90 90 0
0197 4 4 0
0198 8 8 0
01AE 4 4 0
025B 6 6 0
01AF 4 4 0
01B9 6 6 1
01CD 30 30 1
01CE 6 6 0
0443 8 8 0
01CF 28 28 1
01D0 8 8 1
01E1 8 8 1
01D1 14 14 1
01D2 10 10 1
0094 6 6 0
0095 30 30 1
0195 102 102 1
0193 6 6 0
0175 6 6 0
0176 106 106 0
0079 53 53 1
019D 6 6 0
014C -1 4 1
014D 2 2 0
014E 6 6 1
014F 6 6 0
0150 110 110 1
01B6 114 114 1
0151 6 6 0
0152 -1 12 1
0153 -1 4 0
0154 -1 4 1
0166 -1 4 1
0155 -1 4 0
0156 -1 4 1
0157 6 6 0
0159 54 54 0
015A 66 66 1
015B 54 54 0
015C 90 90 1
015D 42 42 0
015E 6 6 1
015F 42 42 1
0160 -1 4 1
0161 -1 4 0
0162 -1 6 1
0163 -1 4 1
0164 -1 4 1
0165 30 30 0
0167 3 3 1
0168 14 14 0
0169 3 3 1
016A 30 30 1
016B 10 10 0
0149 9 9 0
014A 6 6 1
014B 27 27 1
016E 186 186 0
016F 182 182 1
017E -1 4 0
017F -1 4 1
0165 30 30 0
0166 -1 4 1
0167 3 3 1
0168 14 14 0
0169 3 3 1
016A 30 30 1
016B 10 10 0
016C 43 43 1
016C 43 43 1
016D 14 14 1
01F2 20 20 1
0170 14 14 0
0171 30 30 1
0172 10 10 0
0173 3 3 1
0174 -1 4 1
0180 6 6 0
0181 3 3 1
0182 106 106 1
0183 10 10 0
0184 10 10 1
0185 34 34 1
019E 2 2 1
019F 6 6 0
01A0 3 3 1
01A1 3 3 0
01A2 37 37 1
01A3 5 5 1
01A4 11 11 1
01A5 26 26 0
01A6 -1 4 1
01A7 4 4 0
01A8 4 4 0
01A9 6 6 0
01AA 10 10 1
01CA 3 3 0
01B0 11 11 1
01B1 7 7 1
01BA 26 26 0
01BB 26 26 0
01BC 26 26 0
01BD 26 26 0
01C0 2 2 0
01C1 14 14 1
01C2 10 10 1
01D3 35 35 1
01D5 -1 8 0
01D4 6 6 1
01DF 6 6 0
01F3 10 10 1
0284 14 14 1
01FF 10 10 1
01ED 2 2 0
01E7 2 2 0
01B7 6 6 0
01F7 14 14 0
01E3 14 14 0
01CB 9 9 0
01F9 6 6 0
01E5 6 6 0
0201 -1 4 1
0203 10 10 0
0205 26 26 1
0206 11 11 1
0207 34 34 1
0208 14 14 0
0209 36 36 1
020A 10 10 1
020E 32 32 1
0212 26 26 0
0213 26 26 0
0214 42 42 1
0215 6 6 1
0216 6 6 1
0217 2 2 0
0218 2 2 0
0225 2 2 0
0219 282 282 1
021A 282 282 1
0226 282 282 1
0282 284 284 1
021B 10 10 1
021C 10 10 1
0224 10 10 1
0280 12 12 1
0285 6 6 1
0286 4 4 0
021D 6 6 0
021E 6 6 0
021F 66 66 1
0222 6 6 0
0221 -1 4 1
0220 10 10 1
0223 8 8 1
0073 11 11 1
0074 3 3 0
0075 -1 11 1
0076 9 9 1
0077 5 5 1
0078 55 55 1
007A 58 58 1
007B 60 60 1
007C 44 44 1
007F 6 6 1
0080 7 7 1
0083 2 2 1
0084 2 2 1
0086 16 16 1
0087 12 12 1
0088 10 10 1
08CD 10 10 1
008A 29 29 1
008B 23 23 1
008D -1 8 1
008E -1 4 1
0091 22 22 1
0092 28 28 1
0093 2 2 1
0097 -1 32 1
0098 3 3 1
009A -1 4 1
009C 9 9 1
009D 17 17 1
009E 17 17 1
00A0 23 23 1
00A1 6 6 1
00A3 -1 4 1
00A4 -1 4 1
00A5 -1 4 1
00A6 -1 4 1
00A8 7 7 1
00AA 9 9 1
00AC 7 7 1
00AE -1 4 1
00AF 6 6 1
00B0 8 8 1
00B1 8 8 1
00B3 3 3 0
00B4 -1 8 1
00B5 6 6 1
00B6 6 6 1
00B7 -1 8 1
00BC 6 6 1
00BD 44 44 1
00BE 5 5 1
00C0 7 7 1
00C2 6 6 1
00C3 8 8 1
00C4 6 6 1
00C6 -1 4 1
00C7 -1 4 1
00CA 3 3 1
00CB 3 3 1
00CD 3 3 1
00D1 4 4 1
00D2 4 4 1
00D4 -1 4 1
00D6 3 3 1
00D7 -1 17 1
00D8 6 6 1
00DA 3 3 1
00DB -1 8 1
00DC 28 28 1
00DD 29 29 1
00DF -1 17 1
00E1 30 30 1
00E5 26 26 1
00E7 3 3 1
00E9 19 19 1
00EA 5 5 1
00EC 3 3 1
00EE 2 2 1
00F0 3 3 1
00F1 2 2 1
00F2 6 6 1
00F4 21 21 1
00F6 8 8 1
00F8 2 2 1
00FA 3 3 1
00FB -1 28 1
00FD 27 27 1
00FE 30 30 1
0101 6 6 1
0104 79 79 1
0105 31 31 1
0106 10 10 1
0107 10 10 1
0109 -1 8 1
010A 4 4 1
010B 6 6 1
010C 6 6 1
010D 2 2 1
010E 11 11 1
010F -1 4 1
02B1 -1 8 1
02B2 -1 8 1
02B5 -1 6 1
0110 10 10 1
0111 39 39 1
0114 31 31 1
0115 35 35 1
0117 18 18 1
0119 13 13 1
0229 15 15 1
011A 15 15 1
011C 68 68 1
011E 3 3 1
011F 16 16 1
0120 6 6 1
0121 14 14 1
0122 -1 4 1
0123 -1 4 1
0124 21 21 1
0125 8 8 1
012B 2 2 1
012C 3 3 1
012D 4 4 1
0131 86 86 1
0132 6 6 1
0133 -1 8 1
0135 7 7 1
0136 -1 8 1
0137 6 6 1
0139 16 16 1
013A 4 4 1
013B 4 4 1
013C 4 4 1
013D 6 6 1
013E 24 24 1
0141 14 14 1
0142 6 6 1
0144 23 23 1
0145 19 19 1
0147 39 39 1
0148 8 8 1
0177 -1 4 1
0179 5 5 1
017B -1 4 1
017D 7 7 1
0188 8 8 1
0189 4 4 1
018B 4 4 0
018C 29 29 1
018D -1 4 1
018F 6 6 1
0191 86 86 1
0192 24 24 1
0194 30 30 1
0196 9 9 1
028A 18 18 1
0199 4 4 1
019A 14 14 1
019B 10 10 1
01AB 12 12 1
01AC 6 6 1
01AD -1 4 1
025A -1 4 1
01B3 67 67 1
01B4 12 12 1
01B5 18 18 0
01B8 3 3 1
01C3 -1 16 1
01C4 22 22 1
01C5 22 22 1
01C8 13 13 1
01C9 97 97 1
01CC 9 9 1
01D6 4 4 1
01D7 11 11 1
01D8 54 54 1
022A 58 58 1
01D9 53 53 1
022B 57 57 1
01DA 60 60 1
022C 65 65 1
01DE 33 33 1
01E0 30 30 1
01E2 34 34 1
01E4 2 2 1
01E6 26 26 1
01E9 81 81 1
01EA 6 6 1
01EB 10 10 1
01EC 26 26 1
01EE -1 4 1
01EF -1 4 1
01F0 -1 4 1
01F4 32 32 1
01F5 9 9 1
01F6 34 34 1
0253 3 3 1
0254 3 3 0
01F8 2 2 1
01FC -1 4 1
01FE 5 5 1
0227 18 18 0
0228 18 18 0
0232 9 9 0
0233 11 11 0
0234 6 6 0
0230 12 12 1
022E 71 71 1
027D 62 62 0
0235 -1 4 1
0239 11 11 1
022F 5 5 1
0231 26 26 0
0237 2 2 0
0238 282 282 1
0236 10 10 1
023A 4 4 0
023C 6 6 0
023D 6 6 0
023E 8 8 0
023F 2 2 0
0240 -1 8 1
0241 6 6 0
0242 -1 99 1
0243 6 6 0
0257 8 8 1
0244 6 6 0
0245 3 3 1
0246 4 4 0
0247 8 8 0
0248 -1 68 0
0249 3 3 1
024A 70 70 1
024B 4 4 0
024C 8 8 0
024D 12 12 0
024E 6 6 0
024F 10 10 0
0250 3 3 1
0251 34 34 0
0252 -1 12 1
0255 5 5 1
0256 5 5 1
0258 2 2 0
0259 3 3 0
025C 4 4 0
025D 6 6 1
025E 4 4 0
025F 6 6 1
0260 6 6 1
0261 11 11 0
0262 11 11 0
0263 11 11 0
0264 20 20 0
0265 20 20 0
0266 30 30 0
0267 4 4 0
0268 4 4 0
0269 4 4 0
026A 4 4 0
026B 4 4 0
026C 4 4 0
026D 4 4 0
026F 2 2 0
0270 2 2 0
0271 40 40 0
0272 44 44 0
0273 30 30 0
0274 8 8 1
0275 37 37 0
0276 -1 51 0
0277 84 84 0
0278 2 2 0
0279 2 2 0
027A -1 4 1
027B 14 14 0
027C 60 60 0
027E -1 6 0
027F 8 8 0
0283 6 6 1
0287 -1 8 1
0288 6 6 0
0289 8 8 1
0444 -1 8 1
0445 6 6 0
028B -1 4 0
028C 46 46 0
028D 34 34 0
028E 4 4 0
028F 6 6 0
0290 4 4 0
0291 4 4 1
0292 2 2 0
0293 70 70 1
0294 10 10 1
0295 -1 4 1
0296 -1 4 1
0297 -1 4 1
0298 8 8 1
0299 6 6 1
029A 27 27 1
029B 80 80 1
029C 66 66 0
029D -1 4 1
029E 11 11 1
029F 3 3 0
02A2 8 8 1
02A5 8 8 0
02A6 -1 10 0
02A7 -1 10 0
02AA 4 4 0
02AB 36 36 0
02AC 6 6 0
02AD 8 8 0
02B0 85 85 0
02B8 22 22 1
02BB 8 8 1
02B9 191 191 1
02BA 11 11 0
02BC 6 6 0
02B3 107 107 1
02B4 6 6 1
02B6 7 7 0
02B7 7 7 1
02C1 -1 12 1
02C2 -1 6 1
02C5 30 30 1
02C8 3 3 0
02C9 3 3 1
02C6 30 30 1
02C7 7 7 0
02CB 65 65 1
02CC 4 4 1
02CD 71 71 1
02CE 10 10 1
02CF 6 6 0
02D5 2 2 1
02D0 -1 4 1
02D1 -1 4 1
02D2 -1 4 1
02D3 4 4 1
02D4 29 29 1
02D6 6 6 0
02D7 -1 43 1
02D8 10 10 0
02D9 10 10 1
02DA 3 3 1
02DB -1 4 0
02DC -1 32 1
02DD 32 32 1
02DE 6 6 1
02DF 36 36 1
02E0 34 34 1
02E1 33 33 1
02E2 8 8 0
02E3 10 10 0
02E4 6 6 0
02E5 5 5 0
02E6 6 6 0
02E7 -1 6 1
02E8 -1 4 1
02E9 -1 4 1
02EA -1 4 1
02EB 13 13 1
02EC 67 67 1
02ED 59 59 1
02EE 60 60 1
02EF 8 8 1
02F0 10 10 1
02F1 2 2 0
02F2 2 2 1
035C 2 2 0
035D -1 16 0
035E 2 2 0
